%MEM   RSS
%MEM   RSS
85.5 2552484
%MEM   RSS
85.4 2547716
%MEM   RSS
85.4 2549912
%MEM   RSS
85.3 2546332
%MEM   RSS
85.4 2549592
%MEM   RSS
85.3 2545168
%MEM   RSS
85.1 2541580
%MEM   RSS
85.0 2536472
%MEM   RSS
85.3 2545464
%MEM   RSS
85.6 2553892
%MEM   RSS
85.4 2548928
%MEM   RSS
85.5 2551872
%MEM   RSS
85.5 2551648
%MEM   RSS
85.4 2548768
%MEM   RSS
85.7 2556792
%MEM   RSS
85.5 2552284
%MEM   RSS
85.5 2551108
%MEM   RSS
85.3 2546364
%MEM   RSS
85.3 2545520
%MEM   RSS
84.8 2532256
%MEM   RSS
84.8 2532256
%MEM   RSS
84.8 2532256
%MEM   RSS
84.8 2532256
%MEM   RSS
84.8 2532256
%MEM   RSS
84.8 2532256
%MEM   RSS
84.8 2532256
%MEM   RSS
84.8 2532480
%MEM   RSS
84.8 2532480
%MEM   RSS
84.8 2532480
%MEM   RSS
84.8 2532480
%MEM   RSS
84.8 2532480
%MEM   RSS
85.0 2537996
%MEM   RSS
85.2 2543040
%MEM   RSS
85.4 2548952
%MEM   RSS
85.7 2557816
%MEM   RSS
86.2 2571748
%MEM   RSS
86.0 2567500
%MEM   RSS
85.8 2562020
%MEM   RSS
86.0 2566344
%MEM   RSS
86.0 2566960
%MEM   RSS
85.6 2555460
%MEM   RSS
85.7 2559336
%MEM   RSS
86.1 2570844
%MEM   RSS
86.2 2573564
%MEM   RSS
86.1 2570268
%MEM   RSS
86.0 2565904
%MEM   RSS
86.0 2566592
%MEM   RSS
86.0 2565968
%MEM   RSS
85.6 2555436
%MEM   RSS
85.6 2555280
%MEM   RSS
85.6 2555064
%MEM   RSS
85.7 2559400
%MEM   RSS
85.5 2553152
%MEM   RSS
85.6 2553624
%MEM   RSS
85.6 2554188
%MEM   RSS
85.4 2549880
%MEM   RSS
85.4 2550164
%MEM   RSS
84.3 2515272
%MEM   RSS
84.5 2522268
%MEM   RSS
84.3 2515044
%MEM   RSS
84.5 2523508
%MEM   RSS
84.4 2520404
%MEM   RSS
84.7 2528476
%MEM   RSS
84.9 2535140
%MEM   RSS
84.8 2530000
%MEM   RSS
84.7 2528964
%MEM   RSS
85.0 2535636
%MEM   RSS
84.7 2528272
%MEM   RSS
85.0 2536764
%MEM   RSS
84.9 2535080
%MEM   RSS
84.6 2526616
%MEM   RSS
85.0 2536828
%MEM   RSS
84.9 2534936
%MEM   RSS
84.5 2520812
%MEM   RSS
84.9 2534328
%MEM   RSS
84.7 2526772
%MEM   RSS
85.0 2538344
%MEM   RSS
84.5 2521472
%MEM   RSS
84.6 2523868
%MEM   RSS
85.0 2536524
%MEM   RSS
84.9 2535336
%MEM   RSS
84.8 2529700
%MEM   RSS
84.7 2528644
%MEM   RSS
84.5 2522504
%MEM   RSS
84.6 2524864
%MEM   RSS
84.8 2530040
%MEM   RSS
84.6 2526360
%MEM   RSS
85.1 2539104
%MEM   RSS
84.6 2524628
%MEM   RSS
85.4 2547756
%MEM   RSS
84.9 2533136
%MEM   RSS
84.9 2535252
%MEM   RSS
85.3 2544716
%MEM   RSS
85.1 2540408
%MEM   RSS
84.8 2531532
%MEM   RSS
84.8 2530180
%MEM   RSS
84.7 2528260
%MEM   RSS
84.9 2533784
%MEM   RSS
85.1 2538984
%MEM   RSS
85.1 2539404
%MEM   RSS
84.3 2515964
%MEM   RSS
84.6 2526108
%MEM   RSS
84.3 2516348
%MEM   RSS
84.6 2523708
%MEM   RSS
84.3 2515724
%MEM   RSS
84.7 2528296
%MEM   RSS
84.3 2517240
%MEM   RSS
84.3 2516800
%MEM   RSS
84.3 2515908
%MEM   RSS
84.5 2521460
%MEM   RSS
84.7 2527804
%MEM   RSS
84.1 2511484
%MEM   RSS
84.6 2524624
%MEM   RSS
