%MEM   RSS
%MEM   RSS
80.0 2386928
%MEM   RSS
80.0 2386644
%MEM   RSS
80.0 2386828
%MEM   RSS
80.0 2386872
%MEM   RSS
80.0 2386880
%MEM   RSS
80.0 2386764
%MEM   RSS
80.0 2386836
%MEM   RSS
80.0 2387076
%MEM   RSS
80.0 2386744
%MEM   RSS
80.0 2386624
%MEM   RSS
80.0 2386636
%MEM   RSS
80.0 2386828
%MEM   RSS
80.3 2395792
%MEM   RSS
80.6 2405432
%MEM   RSS
80.8 2410728
%MEM   RSS
81.1 2420560
%MEM   RSS
81.4 2429524
%MEM   RSS
81.7 2439656
%MEM   RSS
82.1 2450932
%MEM   RSS
82.5 2461488
%MEM   RSS
82.8 2472232
%MEM   RSS
83.1 2479064
%MEM   RSS
83.0 2478088
%MEM   RSS
83.0 2476376
%MEM   RSS
82.9 2473404
%MEM   RSS
82.8 2471972
%MEM   RSS
82.7 2467632
%MEM   RSS
82.6 2465204
%MEM   RSS
82.5 2462256
%MEM   RSS
82.8 2472740
%MEM   RSS
82.7 2469496
%MEM   RSS
82.7 2468584
%MEM   RSS
82.2 2454792
%MEM   RSS
82.6 2464820
%MEM   RSS
82.5 2462456
%MEM   RSS
82.3 2457924
%MEM   RSS
82.3 2455640
%MEM   RSS
82.1 2451832
%MEM   RSS
82.1 2449240
%MEM   RSS
82.4 2459864
%MEM   RSS
82.0 2446812
%MEM   RSS
82.3 2457216
%MEM   RSS
82.3 2455820
%MEM   RSS
82.2 2453260
%MEM   RSS
82.1 2451388
%MEM   RSS
82.1 2449344
%MEM   RSS
82.4 2460076
%MEM   RSS
82.3 2456264
%MEM   RSS
82.2 2453368
%MEM   RSS
82.1 2449440
%MEM   RSS
82.0 2447752
%MEM   RSS
81.9 2445588
%MEM   RSS
81.8 2442892
%MEM   RSS
82.2 2454056
%MEM   RSS
82.1 2450768
%MEM   RSS
82.0 2447952
%MEM   RSS
81.9 2444232
%MEM   RSS
82.2 2454588
%MEM   RSS
82.2 2452556
%MEM   RSS
82.1 2450308
%MEM   RSS
82.0 2448080
%MEM   RSS
82.4 2458628
%MEM   RSS
82.2 2454424
%MEM   RSS
82.1 2451596
%MEM   RSS
81.8 2442068
%MEM   RSS
82.2 2452868
%MEM   RSS
82.1 2449552
%MEM   RSS
82.0 2447184
%MEM   RSS
81.9 2444200
%MEM   RSS
82.2 2455068
%MEM   RSS
82.1 2451540
%MEM   RSS
82.1 2450932
%MEM   RSS
82.0 2447760
%MEM   RSS
82.4 2458908
%MEM   RSS
82.3 2456252
%MEM   RSS
82.2 2453844
%MEM   RSS
82.1 2451284
%MEM   RSS
82.0 2447588
%MEM   RSS
81.9 2445280
%MEM   RSS
81.9 2443428
%MEM   RSS
82.2 2454132
%MEM   RSS
81.9 2443288
%MEM   RSS
81.9 2443696
%MEM   RSS
81.7 2439728
%MEM   RSS
81.7 2437324
%MEM   RSS
82.0 2447184
