%MEM   RSS
 3.6 108732
%MEM   RSS
11.0 330112
%MEM   RSS
18.3 547300
%MEM   RSS
25.4 759908
%MEM   RSS
32.7 975552
%MEM   RSS
39.8 1189144
%MEM   RSS
47.2 1408376
%MEM   RSS
54.6 1629668
%MEM   RSS
63.2 1887116
%MEM   RSS
72.7 2170884
%MEM   RSS
81.9 2443444
%MEM   RSS
86.8 2590160
%MEM   RSS
86.7 2588720
%MEM   RSS
87.1 2600236
%MEM   RSS
87.0 2595376
%MEM   RSS
87.1 2600652
%MEM   RSS
86.8 2591316
%MEM   RSS
86.8 2589780
%MEM   RSS
86.8 2589712
%MEM   RSS
86.7 2589148
%MEM   RSS
86.8 2592076
%MEM   RSS
86.8 2589940
%MEM   RSS
86.8 2589880
%MEM   RSS
86.8 2590076
%MEM   RSS
86.3 2575872
%MEM   RSS
86.3 2576136
%MEM   RSS
86.3 2575876
%MEM   RSS
86.3 2576036
%MEM   RSS
86.3 2575684
%MEM   RSS
86.3 2575616
%MEM   RSS
86.3 2575916
%MEM   RSS
85.8 2560996
%MEM   RSS
85.8 2561292
%MEM   RSS
85.8 2561164
%MEM   RSS
85.8 2561128
%MEM   RSS
85.8 2561356
%MEM   RSS
85.8 2560732
%MEM   RSS
85.8 2561068
%MEM   RSS
85.8 2561176
%MEM   RSS
85.8 2561232
%MEM   RSS
85.8 2561068
%MEM   RSS
85.8 2561184
%MEM   RSS
85.8 2561228
%MEM   RSS
85.5 2553052
%MEM   RSS
85.5 2553424
%MEM   RSS
85.5 2553304
%MEM   RSS
85.5 2553296
%MEM   RSS
85.5 2553480
%MEM   RSS
85.6 2553700
%MEM   RSS
85.5 2553396
%MEM   RSS
85.5 2553332
%MEM   RSS
85.4 2549812
%MEM   RSS
85.4 2549512
%MEM   RSS
85.4 2549804
%MEM   RSS
85.4 2549964
%MEM   RSS
85.4 2549568
%MEM   RSS
85.4 2549700
%MEM   RSS
85.4 2549416
%MEM   RSS
85.4 2549740
%MEM   RSS
85.4 2549596
%MEM   RSS
85.4 2549500
%MEM   RSS
85.4 2549944
%MEM   RSS
85.4 2549320
%MEM   RSS
85.4 2549644
%MEM   RSS
85.4 2549660
%MEM   RSS
85.4 2549408
%MEM   RSS
85.4 2550052
%MEM   RSS
85.4 2549676
%MEM   RSS
85.4 2549816
%MEM   RSS
85.4 2549776
%MEM   RSS
85.4 2549680
%MEM   RSS
85.4 2549588
%MEM   RSS
85.4 2550144
%MEM   RSS
85.4 2549256
%MEM   RSS
85.4 2549608
%MEM   RSS
85.4 2549592
%MEM   RSS
85.4 2550000
%MEM   RSS
85.4 2549724
%MEM   RSS
85.4 2549544
%MEM   RSS
85.4 2549564
%MEM   RSS
85.4 2549812
%MEM   RSS
85.4 2549676
%MEM   RSS
85.4 2549612
%MEM   RSS
85.4 2549592
%MEM   RSS
85.4 2549644
%MEM   RSS
85.4 2549556
%MEM   RSS
85.4 2549864
%MEM   RSS
85.4 2549732
%MEM   RSS
85.4 2549764
%MEM   RSS
85.4 2549616
%MEM   RSS
85.4 2549232
%MEM   RSS
85.4 2550056
%MEM   RSS
85.4 2549520
%MEM   RSS
85.4 2549736
%MEM   RSS
85.4 2549776
%MEM   RSS
85.4 2549452
%MEM   RSS
85.3 2546068
%MEM   RSS
85.3 2545836
%MEM   RSS
85.3 2545692
%MEM   RSS
85.3 2545916
%MEM   RSS
85.3 2545888
%MEM   RSS
85.3 2546060
%MEM   RSS
85.3 2545884
%MEM   RSS
85.3 2545896
%MEM   RSS
85.3 2545832
%MEM   RSS
85.3 2545768
%MEM   RSS
85.3 2546120
%MEM   RSS
85.3 2546116
%MEM   RSS
85.3 2545860
%MEM   RSS
85.3 2546080
%MEM   RSS
85.3 2545948
%MEM   RSS
85.3 2546320
%MEM   RSS
85.3 2545704
%MEM   RSS
85.3 2546032
%MEM   RSS
85.3 2546036
%MEM   RSS
85.3 2545980
%MEM   RSS
85.3 2545968
%MEM   RSS
85.3 2545776
%MEM   RSS
85.3 2545768
%MEM   RSS
85.3 2545900
%MEM   RSS
85.3 2545696
%MEM   RSS
85.3 2545636
%MEM   RSS
85.3 2545748
%MEM   RSS
85.3 2545808
%MEM   RSS
85.3 2545600
%MEM   RSS
85.3 2545664
%MEM   RSS
85.3 2545880
